업종,상호명,영업소지번소재지,전화번호
노래연습장업,신데렐라 노래연습장,"서울특별시 용산구 한강대로 284, 3층 (남영동)",02-790-4900
노래연습장업,스마일노래연습장,"서울특별시 용산구 원효로41길 9, 2층 (원효로3가)",070-4240-8606
노래연습장업,대박노래연습장,"서울특별시 용산구 원효로 184, 2층 (원효로2가)",02-706-6551
노래연습장업,궁노래연습장,"서울특별시 용산구 원효로53길 9, 지하층 (원효로2가)",
노래연습장업,행운노래연습장,"서울특별시 용산구 원효로41길 15, 2층 (원효로3가)",
노래연습장업,아리수노래연습장,"서울특별시 용산구 한강대로39길 20, 지층 (한강로2가)",02-790-7989
노래연습장업,샘노래연습장,"서울특별시 용산구 보광로 31-1, 2층 (보광동, LG전자프라자)",
노래연습장업,낭낭노래연습장,서울특별시 용산구 한강대로62길 13 (한강로1가),02-749-5858
노래연습장업,스타코인노래연습장,"서울특별시 용산구 한강대로77길 12, 지하1층 (갈월동, 국제전산빌딩)",
노래연습장업,테마노래연습장,"서울특별시 용산구 청파로67길 3, 1층 (청파동1가)",
노래연습장업,Joyking동전노래연습장,"서울특별시 용산구 청파로47길 49, 3층 (청파동3가, 캠퍼스프라자)",
노래연습장업,TOP코인 노래연습장,"서울특별시 용산구 청파로47길 67, 지1층 (청파동2가)",
노래연습장업,적셔,"서울특별시 용산구 이태원로 176, 3층 (이태원동)",
노래연습장업,황금,서울특별시 용산구 한강대로84길 4 (남영동),
노래연습장업,K-POP,"서울특별시 용산구 녹사평대로54길 6, 지1층 (이태원동)",
노래연습장업,KPOPSTAR 코인노래연습장,"서울특별시 용산구 한강대로 287-1, 2층 (갈월동)",
노래연습장업,제일노래연습장,"서울특별시 용산구 이태원로 223, 지1층 (한남동)",
노래연습장업,숙대테마노래연습장,"서울특별시 용산구 한강대로 276, 2층 (남영동)",
