상호명,영업소도로명소재지,영업소지번소재지,전화번호,데이터 기준일자
달빛노래연습장,서울특별시 송파구 백제고분로50길 11 (방이동),서울특별시 송파구 방이동 178-4번지 ,,2019-02-22
아우성,서울특별시 송파구 동남로4길 9 (문정동),서울특별시 송파구 문정동 29-29번지 ,,2019-02-22
S.B.S,서울특별시 송파구 오금로15길 16  (방이동),서울특별시 송파구 방이동 71-0번지 ,,2019-02-22
종달새,서울특별시 송파구 백제고분로45길 10  (송파동),서울특별시 송파구 송파동 50번지 ,,2019-02-22
21세기,서울특별시 송파구 마천로41길 15 (마천동),서울특별시 송파구 마천동 129-1번지 ,,2019-02-22
동산 노래연습장,"서울특별시 송파구 오금로11길 22, 2층 (방이동)",서울특별시 송파구 방이동 59-1번지 2층 ,,2019-02-22
금잔디 노래연습장,서울특별시 송파구 백제고분로 131 (잠실동),서울특별시 송파구 잠실동 228-10번지 ,,2019-02-22
킹,서울특별시 송파구 백제고분로7길 28-6  (잠실동),서울특별시 송파구 잠실동 190-11번지 ,,2019-02-22
엠브이피,서울특별시 송파구 백제고분로7길 52 (잠실동),서울특별시 송파구 잠실동 185-5번지 ,02-421-9190,2019-02-22
코리아씨티,서울특별시 송파구 백제고분로7길 46 (잠실동),서울특별시 송파구 잠실동 186-0번지 ,,2019-02-22
NBC,서울특별시 송파구 백제고분로7길 19 (잠실동),서울특별시 송파구 잠실동 179-3번지 지층 ,,2019-02-22
송파,서울특별시 송파구 가락로16길 2-6 (석촌동),서울특별시 송파구 석촌동 276-9번지 ,,2019-02-22
덩크슛,서울특별시 송파구 가락로16길 3-4  (석촌동),서울특별시 송파구 석촌동 297-0번지 ,,2019-02-22
월드,서울특별시 송파구 가락로 114 (석촌동),서울특별시 송파구 석촌동 296-2번지 ,02-416-9262,2019-02-22
송파노래연습장,"서울특별시 송파구 삼학사로 51, 지층 (삼전동)",서울특별시 송파구 삼전동 180-28번지 지층 ,,2019-02-22
오렌지,서울특별시 송파구 백제고분로 254  (삼전동),서울특별시 송파구 삼전동 72-3번지 ,,2019-02-22
앵커노래연습장,서울특별시 송파구 백제고분로22길 5 (삼전동),서울특별시 송파구 삼전동 47-0번지 ,,2019-02-22
모이세노래연습장,"서울특별시 송파구 백제고분로40길 10, 2층 (석촌동)",서울특별시 송파구 석촌동 283-3번지 2층 ,,2019-02-22
앵콜,서울특별시 송파구 가락로 248  (방이동),서울특별시 송파구 방이동 135-5번지 ,,2019-02-22
킹노래연습장,"서울특별시 송파구 백제고분로22길 27, 지하1층 (삼전동)",서울특별시 송파구 삼전동 42-9번지 지하1층 ,3431-3871,2019-02-22
코러스,"서울특별시 송파구 풍성로25가길 10, 지층 (풍납동)",서울특별시 송파구 풍납동 155-21번지 지층 ,02-473-2742,2019-02-22
앵콜,서울특별시 송파구 백제고분로 257  (삼전동),서울특별시 송파구 삼전동 101-9번지 ,,2019-02-22
MBC,서울특별시 송파구 위례성대로18길 27-10  (방이동),서울특별시 송파구 방이동 206-1번지 ,,2019-02-22
SBS,서울특별시 송파구 오금로 519  (거여동),서울특별시 송파구 거여동 36-4번지 ,,2019-02-22
슈가노래연습장,"서울특별시 송파구 백제고분로39길 8, 지1층 (석촌동)",서울특별시 송파구 석촌동 175-3번지 ,,2019-02-22
MBC노래연습장,서울특별시 송파구 마천로 149 (오금동),서울특별시 송파구 오금동 74-1번지 ,,2019-02-22
울랄라,"서울특별시 송파구 동남로20길 27  (가락동,지층)",서울특별시 송파구 가락동 175번지 지층 ,,2019-02-22
채플린,서울특별시 송파구 동남로18길 34  (가락동),서울특별시 송파구 가락동 197-17번지 ,,2019-02-22
SBS노래연습장,"서울특별시 송파구 석촌호수로 194, 지층 (석촌동)",서울특별시 송파구 석촌동 1-3번지 지층 ,,2019-02-22
금강산노래연습장,"서울특별시 송파구 풍성로26길 54, 지층 (풍납동)",서울특별시 송파구 풍납동 404-2번지 지층 ,485-1116,2019-02-22
허니노래연습장,서울특별시 송파구 삼학사로18길 13 (석촌동),서울특별시 송파구 석촌동 6-14번지 ,,2019-02-22
썬,서울특별시 송파구 가락로30길 14  (송파동),서울특별시 송파구 송파동 148-1번지 ,,2019-02-22
스타게이트 노래연습장,"서울특별시 송파구 올림픽로12길 23, 지1층 (잠실동)",서울특별시 송파구 잠실동 205-1번지 ,,2019-02-22
SBS 노래연습장,"서울특별시 송파구 백제고분로41길 16, 지층 (송파동)",서울특별시 송파구 송파동 23-0번지 지층 ,,2019-02-22
케이비에스,"서울특별시 송파구 마천로 61,  201호 (오금동)",서울특별시 송파구 오금동 18-11번지 201호,,2019-02-22
짱구 노래연습장,"서울특별시 송파구 마천로41길 34, 지1층 (마천동)",서울특별시 송파구 마천동 178-55번지 ,,2019-02-22
서울서울,서울특별시 송파구 마천로 276 (거여동),서울특별시 송파구 거여동 183-5번지 ,,2019-02-22
SBS,"서울특별시 송파구 송파대로 387, 3층 (석촌동)",서울특별시 송파구 석촌동 295-6번지 3층 ,02-415-9342,2019-02-22
큐,서울특별시 송파구 가락로 115  (석촌동),서울특별시 송파구 석촌동 295-9번지 ,,2019-02-22
뮤즈 노래연습장,서울특별시 송파구 백제고분로7길 20 (잠실동),서울특별시 송파구 잠실동 192-12번지 ,,2019-02-22
마돈나,"서울특별시 송파구 가락로 95 (석촌동,2층)",서울특별시 송파구 석촌동 272-25번지 2층 ,,2019-02-22
오빠 노래연습장,"서울특별시 송파구 백제고분로41길 19-1, 지1층 (송파동)",서울특별시 송파구 송파동 13-4번지 ,,2019-02-22
야호노래연습장,서울특별시 송파구 오금로11길 6 (방이동),서울특별시 송파구 방이동 64번지 ,,2019-02-22
해븐,서울특별시 송파구 백제고분로7길 33 (잠실동),서울특별시 송파구 잠실동 182-4번지 ,,2019-02-22
해피데이,서울특별시 송파구 새말로 157 (문정동),서울특별시 송파구 문정동 102-6번지 ,,2019-02-22
테크노,서울특별시 송파구 백제고분로42길 11  (송파동),서울특별시 송파구 송파동 111-19번지 ,,2019-02-22
KBS,서울특별시 송파구 올림픽로32길 18  (방이동),서울특별시 송파구 방이동 64-6번지 ,,2019-02-22
우리,서울특별시 송파구 백제고분로12길 4 (잠실동),서울특별시 송파구 잠실동 294-25번지 ,,2019-02-22
싸이보그,서울특별시 송파구 백제고분로7길 50-1 (잠실동),서울특별시 송파구 잠실동 185-0번지 ,,2019-02-22
스카이,서울특별시 송파구 동남로 132  (문정동),서울특별시 송파구 문정동 4-8번지 ,,2019-02-22
SBS노래연습장,서울특별시 송파구 백제고분로46길 3 (송파동),서울특별시 송파구 송파동 136-11번지 ,02-412-7957,2019-02-22
스타노래연습장,서울특별시 송파구 풍성로26길 51 (풍납동),서울특별시 송파구 풍납동 410-2번지 ,02-470-8100,2019-02-22
월드컵,서울특별시 송파구 중대로 56  (문정동),서울특별시 송파구 문정동 150-4번지 ,,2019-02-22
환희,,서울특별시 송파구 가락동 17-13번지 ,02-449-4285,2019-02-22
팡팡,"서울특별시 송파구 새말로 143, 지층 (문정동)",서울특별시 송파구 문정동 96-10번지 지층 ,448-6490,2019-02-22
빅토리,서울특별시 송파구 오금로 551  (거여동),서울특별시 송파구 거여동 34-3번지 ,,2019-02-22
하트노래연습장,"서울특별시 송파구 오금로 481, 지1층 (거여동, 동진빌딩)",서울특별시 송파구 거여동 21-2번지 지층 ,430-6064,2019-02-22
하트노래연습장,서울특별시 송파구 백제고분로27길 33 (삼전동),서울특별시 송파구 삼전동 91-9번지 ,,2019-02-22
야옹이노래연습장,서울특별시 송파구 양재대로62길 31-6 (가락동),서울특별시 송파구 가락동 75-8번지 ,02-409-1005,2019-02-22
논스톱,서울특별시 송파구 강동대로9길 17  (풍납동),서울특별시 송파구 풍납동 399-12번지 ,,2019-02-22
쟁반노래연습장,서울특별시 송파구 오금로15길 5 (방이동),서울특별시 송파구 방이동 67-12번지 ,02-415-8276,2019-02-22
우리들,,서울특별시 송파구 거여동 159-73번지 ,,2019-02-22
청개구리,서울특별시 송파구 바람드리길 59  (풍납동),서울특별시 송파구 풍납동 474-4번지 ,,2019-02-22
이브노래연습장,"서울특별시 송파구 오금로36길 20, 지층 (가락동)",서울특별시 송파구 가락동 19-2번지 지층 ,02-407-3664,2019-02-22
꿈의궁전,서울특별시 송파구 마천로 312 (거여동),서울특별시 송파구 거여동 214-2번지 19통3반 ,,2019-02-22
산까치,서울특별시 송파구 성내천로 296 (마천동),서울특별시 송파구 마천동 288-18번지 3통7반 ,,2019-02-22
베스트노래연습장,서울특별시 송파구 백제고분로7길 30 (잠실동),서울특별시 송파구 잠실동 189번지 ,,2019-02-22
미소노래연습장,"서울특별시 송파구 마천로 333-1, 지층 (마천동)",서울특별시 송파구 마천동 307-52번지 지층 ,,2019-02-22
MBC노래연습장,서울특별시 송파구 오금로 410 (가락동),서울특별시 송파구 가락동 167-3번지 ,,2019-02-22
준,서울특별시 송파구 가락로 133  (송파동),서울특별시 송파구 송파동 95-37번지 ,,2019-02-22
앵콜,서울특별시 송파구 오금로 527  (거여동),서울특별시 송파구 거여동 36번지 ,,2019-02-22
싱글벙글노래연습장,"서울특별시 송파구 동남로9길 31, 지1층 (가락동)",서울특별시 송파구 가락동 141-3번지 13통2반 ,,2019-02-22
스크린노래연습장,"서울특별시 송파구 성내천로 45, 지층 (오금동)",서울특별시 송파구 오금동 125-4번지 지층 ,443-0690,2019-02-22
스타 노래연습장,서울특별시 송파구 가락로16길 3-6 (석촌동),서울특별시 송파구 석촌동 297-1번지 ,02-4237-9727,2019-02-22
뮤직Q노래연습장,"서울특별시 송파구 바람드리길 62, 지층 (풍납동)",서울특별시 송파구 풍납동 480번지 지층 ,477-3345,2019-02-22
서울노래연습장,"서울특별시 송파구 삼학사로 52, 지층 (석촌동)",서울특별시 송파구 석촌동 210-20번지 13통5반 지층 ,02-2203-9155,2019-02-22
더원노래연습장,서울특별시 송파구 백제고분로9길 25 (잠실동),서울특별시 송파구 잠실동 190-13번지 ,,2019-02-22
킹,"서울특별시 송파구 백제고분로48길 16, 지층 (방이동)",서울특별시 송파구 방이동 113-4번지 14통4반 지층 ,,2019-02-22
앵콜,"서울특별시 송파구 백제고분로 144  (잠실동,지층)",서울특별시 송파구 잠실동 313-9번지 지층 ,,2019-02-22
은하수,서울특별시 송파구 백제고분로18길 21  (잠실동),서울특별시 송파구 잠실동 330번지 3통4반 ,,2019-02-22
if 노래연습장,"서울특별시 송파구 올림픽로32길 18-23, 지1층 (방이동)",서울특별시 송파구 방이동 63-5번지 ,,2019-02-22
금강산,서울특별시 송파구 마천로41길 22  (마천동),서울특별시 송파구 마천동 128-5번지 ,,2019-02-22
비발디,서울특별시 송파구 동남로20길 50-37  (가락동),서울특별시 송파구 가락동 180-12번지 ,,2019-02-22
나오미,서울특별시 송파구 위례성대로20길 8-1  (오금동),서울특별시 송파구 오금동 1-9번지 12통3반 ,,2019-02-22
오케이노래연습장,"서울특별시 송파구 백제고분로9길 47, 지층 (잠실동)",서울특별시 송파구 잠실동 186-10번지 ,418-8593,2019-02-22
베스트,"서울특별시 송파구 거마로 62  (마천동,B02)",서울특별시 송파구 마천동 118-24번지 B02 ,02-430-9093,2019-02-22
악쓰는하마노래연습장,서울특별시 송파구 동남로18길 31 (가락동),서울특별시 송파구 가락동 189-30번지 ,,2019-02-22
스타,서울특별시 송파구 거마로 30  (거여동),서울특별시 송파구 거여동 181-178번지 8통5반 ,,2019-02-22
씽씽노래연습장,서울특별시 송파구 석촌호수로12길 3 (잠실동),서울특별시 송파구 잠실동 210-29번지 ,02-412-7514,2019-02-22
품바노래연습장,"서울특별시 송파구 오금로44길 3, 지층 (가락동)",서울특별시 송파구 가락동 174-13번지 지층 ,409-5081,2019-02-22
호수,서울특별시 송파구 석촌호수로18길 4  (석촌동),서울특별시 송파구 석촌동 24-5번지 21통7반 ,,2019-02-22
고래고래노래연습장,서울특별시 송파구 오금로44가길 8 (가락동),서울특별시 송파구 가락동 167-9번지 ,02-401-5177,2019-02-22
행운노래연습장,서울특별시 송파구 백제고분로34길 11 (석촌동),서울특별시 송파구 석촌동 233-7번지 22통1반 ,,2019-02-22
SBS노래연습장,"서울특별시 송파구 올림픽로32길 24, 지층 (방이동)",서울특별시 송파구 방이동 62번지 지층 ,422-5043,2019-02-22
콘서트,서울특별시 송파구 오금로36길 23 (가락동),서울특별시 송파구 가락동 17-0번지 ,,2019-02-22
어울림,서울특별시 송파구 가락로 65 (석촌동),서울특별시 송파구 석촌동 251-5번지 17통6반 ,,2019-02-22
콜노래연습장,"서울특별시 송파구 마천로15길 2, 지하1층 (오금동)",서울특별시 송파구 오금동 78-5번지 ,,2019-02-22
도레미 노래연습장,서울특별시 송파구 가락로 112 (석촌동),서울특별시 송파구 석촌동 296-0번지 ,02-414-9414,2019-02-22
매너짱,"서울특별시 송파구 마천로 145, 2층 (오금동)",서울특별시 송파구 오금동 74-4번지 15통6반 2층 ,,2019-02-22
오디션,서울특별시 송파구 삼학사로18길 12 (석촌동),서울특별시 송파구 석촌동 7-3번지 ,,2019-02-22
파랑새,서울특별시 송파구 마천로 295  (마천동),서울특별시 송파구 마천동 128-50번지 ,,2019-02-22
수노래연습장,"서울특별시 송파구 백제고분로41길 6-5, 지1층 (송파동, 곡성빌딩)",서울특별시 송파구 송파동 21-5번지 ,,2019-02-22
ABC노래연습장,"서울특별시 송파구 마천로 235, 3층 (마천동)",서울특별시 송파구 마천동 25-2번지 ,,2019-02-22
행운,서울특별시 송파구 중대로16길 3  (가락동),서울특별시 송파구 가락동 148-0번지 22통3반 ,,2019-02-22
테마노래연습장,"서울특별시 송파구 마천로 191 (오금동,지층)",서울특별시 송파구 오금동 115-3번지 지층 ,02-448-6339,2019-02-22
아하노래연습장,서울특별시 송파구 오금로46길 40 (가락동),서울특별시 송파구 가락동 190-2번지 10통4반 ,,2019-02-22
가자,서울특별시 송파구 가락로 274  (방이동),서울특별시 송파구 방이동 160-1번지 6통6반 ,,2019-02-22
신세대,서울특별시 송파구 마천로51길 19  (마천동),서울특별시 송파구 마천동 178-74번지 1통1반 ,,2019-02-22
77노래연습장,"서울특별시 송파구 중대로9길 46, 지층 (가락동)",서울특별시 송파구 가락동 87-2번지 지층 ,401-1176,2019-02-22
야화,서울특별시 송파구 중대로9길 62  (가락동),서울특별시 송파구 가락동 72-13번지 2통,,2019-02-22
머니팡팡,서울특별시 송파구 백제고분로39길 5 (석촌동),서울특별시 송파구 석촌동 172-6번지 ,,2019-02-22
태영노래연습장,"서울특별시 송파구 바람드리길 27-1, 지1층 (풍납동)",서울특별시 송파구 풍납동 87-4번지 지1층 ,475-7587,2019-02-22
모아노래연습장,서울특별시 송파구 오금로 490 (거여동),서울특별시 송파구 거여동 559-6번지 28통3반 ,,2019-02-22
열린,서울특별시 송파구 중대로12길 8 (가락동),서울특별시 송파구 가락동 113-17번지 ,3401-3470,2019-02-22
짱,,서울특별시 송파구 신천동 7번지 8통6반 장미아파트 B동 43호,,2019-02-22
악쓰는하마,서울특별시 송파구 풍성로25길 39  (풍납동),서울특별시 송파구 풍납동 153-22번지 16통6반 ,,2019-02-22
올림픽노래연습장,서울특별시 송파구 위례성대로18길 5 (방이동),서울특별시 송파구 방이동 186-18번지 2통7반 ,,2019-02-22
원스타,서울특별시 송파구 백제고분로39길 6-5  (석촌동),서울특별시 송파구 석촌동 175-4번지 22통6반 ,,2019-02-22
진선미노래연습장,"서울특별시 송파구 삼전로13길 4, 지층 (잠실동)",서울특별시 송파구 잠실동 242-22번지 지층 ,02-422-8770,2019-02-22
다이아몬드노래연습장,서울특별시 송파구 올림픽로32길 27 (방이동),서울특별시 송파구 방이동 61-7번지 ,,2019-02-22
대룡,서울특별시 송파구 송파대로30길 3-6  (가락동),서울특별시 송파구 가락동 96-17번지 ,,2019-02-22
악쓰는하마,서울특별시 송파구 백제고분로40길 36  (석촌동),서울특별시 송파구 석촌동 278-9번지 ,,2019-02-22
하나,서울특별시 송파구 마천로39길 21  (마천동),서울특별시 송파구 마천동 44-9번지 ,,2019-02-22
호박노래연습장,,서울특별시 송파구 방이동 70번지 ,,2019-02-22
끼노래연습장,"서울특별시 송파구 올림픽로32길 21, 지층 (방이동)",서울특별시 송파구 방이동 60-5번지 지층 ,,2019-02-22
스타노래연습장,"서울특별시 송파구 석촌호수로18길 7, 지1층 (석촌동)",서울특별시 송파구 석촌동 157-4번지 ,419-6677,2019-02-22
빅뱅,서울특별시 송파구 백제고분로9길 41-1 (잠실동),서울특별시 송파구 잠실동 187-14번지 ,02-414-9940,2019-02-22
송파,서울특별시 송파구 동남로13길 47  (가락동),서울특별시 송파구 가락동 124-26번지 ,,2019-02-22
로데오노래연습장,"서울특별시 송파구 동남로4길 20, 지층 (문정동)",서울특별시 송파구 문정동 40-9번지 ,02-431-2394,2019-02-22
메니아노래연습장,서울특별시 송파구 송파대로 386 (송파동),서울특별시 송파구 송파동 96-7번지 ,,2019-02-22
만남노래연습장,"서울특별시 송파구 송파대로42길 3, 지층 (송파동)",서울특별시 송파구 송파동 86-5번지 지층 ,,2019-02-22
MBC노래연습장,서울특별시 송파구 풍성로26길 56 (풍납동),서울특별시 송파구 풍납동 404번지 ,,2019-02-22
축제,,서울특별시 송파구 오금동 403-198번지 ,,2019-02-22
뚜뚜루,서울특별시 송파구 백제고분로21길 23 (삼전동),서울특별시 송파구 삼전동 4-6번지 ,02-3431-6427,2019-02-22
싸이,"서울특별시 송파구 성내천로 142, 2층 (거여동)",서울특별시 송파구 거여동 1-9번지 2층 ,403-9333,2019-02-22
도레미,"서울특별시 송파구 가락로 245, 지층 (방이동)",서울특별시 송파구 방이동 136-5번지 ,,2019-02-22
도레미노래연습장,"서울특별시 송파구 송이로17길 50-27, 지층 (가락동)",서울특별시 송파구 가락동 13-10번지 지층 ,,2019-02-22
또올레노래연습장,"서울특별시 송파구 송파대로 451, 지층 (석촌동)",서울특별시 송파구 석촌동 184-8번지 지층 ,02-417-4401,2019-02-22
탈렌트노래연습장,서울특별시 송파구 중대로9길 53 (가락동),서울특별시 송파구 가락동 70-0번지 2통7반 ,,2019-02-22
CNN,서울특별시 송파구 백제고분로7길 28 (잠실동),서울특별시 송파구 잠실동 190-10번지 ,02-414-0488,2019-02-22
띵가띵가노래연습장,서울특별시 송파구 백제고분로7길 56 (잠실동),서울특별시 송파구 잠실동 185-12번지 지층 ,02-424-6459,2019-02-22
보이스,"서울특별시 송파구 성내천로 229, 지층 (마천동)",서울특별시 송파구 마천동 161-2번지 ,,2019-02-22
큐노래연습장,서울특별시 송파구 백제고분로50길 40 (방이동),서울특별시 송파구 방이동 158-0번지 14통2반 ,,2019-02-22
엔젤노래연습장업,서울특별시 송파구 오금로59길 5 (거여동),서울특별시 송파구 거여동 22-11번지 ,3402-1525,2019-02-22
쿨,서울특별시 송파구 올림픽로45길 20  (풍납동),서울특별시 송파구 풍납동 399-20번지 ,,2019-02-22
째즈,서울특별시 송파구 올림픽로32길 19 (방이동),서울특별시 송파구 방이동 60번지 ,02-423-7234,2019-02-22
짠짜라,서울특별시 송파구 백제고분로50길 16  (방이동),서울특별시 송파구 방이동 154-2번지 ,,2019-02-22
영,,서울특별시 송파구 마천동 125-24번지 3통10반 ,,2019-02-22
스타,서울특별시 송파구 새말로8길 4  (문정동),서울특별시 송파구 문정동 71-1번지 ,,2019-02-22
만남24시,"서울특별시 송파구 백제고분로45길 4, 지층 (송파동)",서울특별시 송파구 송파동 48-0번지 지층 ,,2019-02-22
한강,,138-170번지 송파동 13-4 138동 170호,,2019-02-22
바비킹,"서울특별시 송파구 마천로41길 5, 자매빌딩 지하층 101호 (마천동)",서울특별시 송파구 마천동 126-4번지 자매빌딩 ,,2019-02-22
태평양 노래연습장,서울특별시 송파구 송파대로 288 (가락동),서울특별시 송파구 가락동 96번지 ,02-448-3345,2019-02-22
파티파티노래연습장,서울특별시 송파구 백제고분로9길 22 (잠실동),서울특별시 송파구 잠실동 201번지 ,,2019-02-22
뮤직박스노래연습장,"서울특별시 송파구 위례성대로12길 17, 지1층 (방이동, 세광빌딩)",서울특별시 송파구 방이동 196-11번지 ,,2019-02-22
황제노래연습장,서울특별시 송파구 백제고분로40길 35 (석촌동),서울특별시 송파구 석촌동 294-6번지 ,,2019-02-22
궁노래연습장,"서울특별시 송파구 오금로17길 20, 지층 (방이동)",서울특별시 송파구 방이동 106-2번지 지층 ,3431-9198,2019-02-22
디바Ⅰ노래연습장,"서울특별시 송파구 백제고분로7길 58 (잠실동,지층 102호)",서울특별시 송파구 잠실동 208번지 지층 102호 ,02-415-6544,2019-02-22
디바Ⅱ노래연습장,"서울특별시 송파구 백제고분로7길 58 (잠실동,지층 101호)",서울특별시 송파구 잠실동 208번지 지층 101호 ,02-415-6544,2019-02-22
신바람 노래연습장,"서울특별시 송파구 오금로11길 10, 지1층 (방이동, 풍산빌딩)",서울특별시 송파구 방이동 64-8번지 ,421-1666,2019-02-22
진노래연습장,"서울특별시 송파구 백제고분로9길 35, 지층 (잠실동)",서울특별시 송파구 잠실동 188-12번지 지층 ,425-0258,2019-02-22
가고파노래연습장,"서울특별시 송파구 송이로 161, 지층 (가락동)",서울특별시 송파구 가락동 124-8번지 지층 ,02-448-6447,2019-02-22
뉴타운,서울특별시 송파구 백제고분로 358  (석촌동),서울특별시 송파구 석촌동 286-9번지 ,414-2883,2019-02-22
라이브,서울특별시 송파구 백제고분로22길 6  (삼전동),서울특별시 송파구 삼전동 29-8번지 ,,2019-02-22
몽,서울특별시 송파구 삼전로8길 12  (삼전동),서울특별시 송파구 삼전동 11번지 ,,2019-02-22
엠비씨,"서울특별시 송파구 거마로 63 (마천동,지층)",서울특별시 송파구 마천동 35-2번지 지층 ,,2019-02-22
실크로드,서울특별시 영등포구 영등포로47길 17  (영등포동2가),서울특별시 영등포구 영등포동2가 33-15번지 ,,2019-02-22
만남노래연습장,"서울특별시 송파구 백제고분로40길 4-3, 지층 (석촌동)",서울특별시 송파구 석촌동 284-3번지 지층 ,412-5540,2019-02-22
소리,서울특별시 송파구 오금로46길 35 (가락동),서울특별시 송파구 가락동 188-11번지 ,,2019-02-22
더비파크,서울특별시 송파구 백제고분로15길 59  (잠실동),서울특별시 송파구 잠실동 186-13번지 ,,2019-02-22
엘비스,서울특별시 송파구 백제고분로25길 33  (삼전동),서울특별시 송파구 삼전동 26-1번지 ,,2019-02-22
쥬얼리노래연습장,서울특별시 송파구 올림픽로12길 29 (잠실동),서울특별시 송파구 잠실동 205-4번지 ,,2019-02-22
바나나 노래연습장,"서울특별시 송파구 동남로18길 35, 불산빌딩 지층 (가락동)",서울특별시 송파구 가락동 189-27번지 불산빌딩 ,02-443-6994,2019-02-22
청춘,서울특별시 송파구 마천로51길 4  (마천동),서울특별시 송파구 마천동 183-42번지 ,,2019-02-22
옥스,"서울특별시 송파구 오금로11길 41, 4층 (방이동, 4층)",서울특별시 송파구 방이동 43-6번지 ,,2019-02-22
7080노래연습장,"서울특별시 송파구 백제고분로7길 32-19 (잠실동,지층)",서울특별시 송파구 잠실동 188-4번지 지층 ,4195060,2019-02-22
